,0
0,37425
1,33264
2,40963
3,30758
4,2658
5,33155
6,41054
7,3211
8,18935
9,16417
10,7428
11,16452
12,21194
13,37826
14,9961
15,14962
16,15618
17,9756
18,1437
19,1431
20,37770
21,7393
22,2644
23,15592
24,6575
25,27876
26,23206
27,7416
28,4848
29,6578
30,21289
31,23895
32,27434
33,6596
34,37399
35,6581
36,27796
37,20991
38,5094
39,2006
40,33257
41,27412
42,16517
43,1887
44,12528
45,18600
46,7360
47,6632
48,37688
49,18975
50,33211
51,9753
52,2005
53,27422
54,5092
55,34202
56,18485
57,5125
58,22726
59,1977
60,7429
61,37785
62,5122
63,9951
64,36148
65,12597
66,24413
67,2643
68,13169
69,18999
70,37813
71,11301
72,21205
73,2313
74,27391
75,9786
76,9670
77,3770
78,37759
79,1504
80,9963
81,12665
82,1969
83,16489
84,61
85,9843
86,5096
87,27512
88,2654
89,20851
90,15686
91,33258
92,3196
93,3046
94,81
95,16475
96,1452
97,9770
98,2557
99,21139
