,0
0,33806
1,37850
2,16250
3,13222
4,13189
5,34710
6,33823
7,37073
8,25504
9,2537
10,34652
11,34799
12,19538
13,4946
14,13292
15,6746
16,33937
17,4918
18,40057
19,1403
20,32743
21,29066
22,34412
23,41353
24,23453
25,32682
26,12491
27,33922
28,34803
29,21060
30,32704
31,33230
32,33896
33,33895
34,13331
35,29900
36,34695
37,13265
38,34789
39,4938
40,14391
41,5003
42,13328
43,33849
44,33936
45,41859
46,20980
47,34369
48,4981
49,12431
50,33283
51,34698
52,16252
53,33223
54,8995
55,9541
56,33128
57,38298
58,32618
59,34751
60,32730
61,33801
62,13188
63,6757
64,32703
65,33246
66,1511
67,33196
68,33130
69,6694
70,20422
71,34400
72,34485
73,13320
74,13195
75,40950
76,4911
77,13237
78,19460
79,5021
80,8877
81,14382
82,23037
83,5023
84,41235
85,12406
86,34676
87,32716
88,20965
89,13090
90,33180
91,30251
92,329
93,34729
94,33829
95,16317
96,34370
97,33881
98,10985
99,34686
