,0
0,13018
1,17696
2,13159
3,28504
4,17622
5,30296
6,10661
7,37553
8,33976
9,23952
10,2443
11,39764
12,11526
13,9999
14,10088
15,22852
16,23334
17,20060
18,33718
19,27516
20,13118
21,40038
22,35269
23,42617
24,42629
25,10777
26,22051
27,34102
28,9498
29,33196
30,1802
31,25616
32,27495
33,39853
34,1622
35,26384
36,13133
37,1649
38,21974
39,33064
40,23944
41,4562
42,10116
43,41265
44,39180
45,3236
46,39778
47,37282
48,33179
49,28823
50,40055
51,22610
52,26424
53,27197
54,22582
55,3865
56,1737
57,2389
58,10121
59,1453
60,23879
61,25817
62,39862
63,39118
64,22099
65,24846
66,34093
67,5196
68,21699
69,30117
70,26392
71,24013
72,33217
73,24606
74,925
75,37635
76,39150
77,15714
78,34132
79,34689
80,23838
81,8898
82,25561
83,40750
84,28491
85,10739
86,24563
87,26398
88,13519
89,43115
90,30347
91,30826
92,26600
93,27388
94,24888
95,1814
96,41745
97,34047
98,32964
99,17030
