,0
0,29441
1,35654
2,14256
3,25983
4,7827
5,3322
6,23787
7,3458
8,32699
9,32383
10,35405
11,37872
12,23842
13,8986
14,41743
15,34514
16,34813
17,27009
18,37008
19,37001
20,27854
21,29665
22,12385
23,22191
24,6084
25,23968
26,32702
27,11937
28,7653
29,10541
30,36390
31,29718
32,10438
33,23895
34,25973
35,3903
36,9334
37,37981
38,3421
39,27775
40,27783
41,15881
42,9081
43,25751
44,10430
45,22434
46,32419
47,36470
48,5020
49,12427
50,29661
51,22414
52,5192
53,44
54,38280
55,7692
56,22352
57,3905
58,26905
59,23708
60,9992
61,24482
62,22971
63,24811
64,5887
65,37349
66,3379
67,7733
68,35648
69,37141
70,3320
71,35658
72,6095
73,24447
74,25515
75,36908
76,71
77,26879
78,40145
79,3305
80,12
81,29615
82,29186
83,32708
84,11490
85,41886
86,40106
87,29563
88,10636
89,6764
90,16365
91,23581
92,42196
93,42584
94,18695
95,9360
96,3321
97,29549
98,15861
99,32676
