,0
0,3550
1,21331
2,16744
3,17692
4,142
5,331
6,8918
7,29950
8,33628
9,7113
10,11660
11,7657
12,37520
13,8345
14,23567
15,35654
16,23319
17,4166
18,907
19,4326
20,28141
21,4197
22,13675
23,40583
24,17640
25,25654
26,21781
27,19005
28,41972
29,38218
30,32439
31,24884
32,36904
33,16056
34,18677
35,17020
36,9991
37,10478
38,8388
39,17186
40,22668
41,21043
42,37458
43,25530
44,9692
45,37196
46,22355
47,5894
48,39794
49,8926
50,25546
51,6418
52,11406
53,7762
54,26644
55,16470
56,17286
57,2939
58,32601
59,26759
60,14145
61,32971
62,29684
63,4263
64,15104
65,20402
66,20956
67,33101
68,41638
69,38319
70,74
71,28697
72,15214
73,33937
74,10059
75,4497
76,15149
77,27126
78,22212
79,18156
80,24074
81,35243
82,34951
83,9976
84,8436
85,11794
86,5982
87,22791
88,37304
89,4189
90,29650
91,3094
92,20006
93,22387
94,38067
95,1910
96,43191
97,40665
98,21025
99,5145
