,0
0,7232
1,37368
2,25447
3,33605
4,30724
5,13266
6,9180
7,39544
8,2727
9,3519
10,30137
11,19480
12,9142
13,39387
14,23693
15,7680
16,16104
17,19478
18,32148
19,31723
20,42235
21,26818
22,3242
23,2134
24,34395
25,30376
26,6969
27,3327
28,4052
29,33917
30,7671
31,13159
32,2123
33,18616
34,36839
35,14247
36,6082
37,26691
38,15918
39,25027
40,14875
41,29673
42,8450
43,26462
44,19911
45,15596
46,9646
47,32750
48,20406
49,19508
50,29415
51,4956
52,36642
53,6070
54,19937
55,6527
56,15486
57,6470
58,42999
59,13079
60,29622
61,8384
62,37233
63,596
64,15393
65,9673
66,15695
67,15468
68,12668
69,1551
70,38313
71,32120
72,8846
73,15814
74,19109
75,25430
76,1431
77,25840
78,21287
79,26950
80,2137
81,3515
82,3171
83,18508
84,4912
85,13879
86,42547
87,10023
88,20291
89,42992
90,11973
91,30832
92,23200
93,22127
94,9533
95,32212
96,21115
97,31661
98,27749
99,36091
