,0
0,35828
1,8173
2,9892
3,43061
4,17013
5,3244
6,37063
7,15544
8,8169
9,15537
10,5929
11,15467
12,8213
13,38935
14,740
15,43017
16,38950
17,8232
18,15476
19,27721
20,4104
21,17016
22,4125
23,16977
24,37082
25,13909
26,16903
27,3278
28,33463
29,18919
30,16218
31,18806
32,8216
33,29223
34,30302
35,39006
36,15442
37,34387
38,3370
39,26529
40,15488
41,4098
42,42171
43,42601
44,4190
45,42903
46,17021
47,3350
48,41884
49,16127
50,27881
51,18786
52,8234
53,37094
54,35736
55,15411
56,8112
57,37016
58,18870
59,39020
60,3221
61,43053
62,33462
63,38890
64,18792
65,18917
66,22152
67,36437
68,43066
69,3318
70,18923
71,18795
72,20095
73,17038
74,15520
75,16909
76,4080
77,43064
78,19993
79,43011
80,11088
81,15423
82,4077
83,34414
84,37176
85,15409
86,15392
87,4145
88,8198
89,4222
90,29145
91,16997
92,19765
93,18810
94,15408
95,37042
96,3319
97,32949
98,18823
99,14684
