,0
0,1615
1,25698
2,8891
3,35211
4,7877
5,8864
6,4460
7,4229
8,35287
9,12337
10,41860
11,2418
12,19024
13,39705
14,801
15,33382
16,35175
17,42839
18,25700
19,34304
20,20865
21,3401
22,12544
23,1616
24,38350
25,36363
26,3383
27,7799
28,4562
29,39117
30,4472
31,25949
32,1522
33,28881
34,33451
35,34892
36,19062
37,35227
38,12449
39,18991
40,31446
41,3504
42,25298
43,39100
44,1696
45,42761
46,18988
47,20821
48,25347
49,40156
50,33330
51,12347
52,28878
53,12389
54,12384
55,3447
56,3514
57,19061
58,39106
59,4290
60,7786
61,35294
62,12446
63,32444
64,20872
65,25328
66,35272
67,12472
68,39103
69,35279
70,8822
71,19756
72,25218
73,259
74,4303
75,39675
76,12417
77,12558
78,36365
79,40210
80,7777
81,37847
82,195
83,12457
84,19083
85,36396
86,35206
87,14722
88,8842
89,12345
90,35218
91,39139
92,5082
93,41862
94,1525
95,39048
96,20850
97,13175
98,29770
99,209
