,0
0,1367
1,8280
2,5706
3,31980
4,39377
5,19173
6,22078
7,37232
8,25905
9,22062
10,7422
11,30442
12,42237
13,29210
14,18334
15,39259
16,13649
17,19249
18,917
19,11012
20,9398
21,410
22,18420
23,22086
24,21455
25,3743
26,929
27,11726
28,5225
29,10178
30,25884
31,6683
32,19192
33,843
34,501
35,992
36,6631
37,974
38,39311
39,25946
40,25958
41,503
42,342
43,19205
44,19291
45,447
46,25024
47,11671
48,1370
49,26021
50,22037
51,13688
52,25940
53,22053
54,19099
55,26019
56,25818
57,4057
58,26000
59,38622
60,412
61,36167
62,21457
63,13588
64,19194
65,25976
66,25900
67,25966
68,22110
69,1365
70,25968
71,22092
72,18386
73,37492
74,21461
75,18400
76,5641
77,29328
78,32084
79,1018
80,7826
81,5887
82,39063
83,33254
84,22101
85,871
86,1117
87,39131
88,19317
89,30549
90,18419
91,19255
92,1020
93,452
94,18311
95,18319
96,41002
97,22024
98,3393
99,6611
