,0
0,39203
1,13017
2,41269
3,21214
4,8886
5,21774
6,35446
7,10895
8,22626
9,13096
10,41375
11,22150
12,13118
13,28527
14,1787
15,17153
16,28648
17,26697
18,42645
19,1828
20,43098
21,5122
22,26438
23,8036
24,28849
25,17565
26,13064
27,28751
28,20307
29,10764
30,29925
31,6751
32,33281
33,22423
34,35336
35,10779
36,14223
37,21965
38,25560
39,13023
40,8803
41,30483
42,19826
43,30901
44,33259
45,23986
46,17152
47,25607
48,10721
49,39741
50,34851
51,28152
52,24823
53,35314
54,10020
55,41770
56,24587
57,36758
58,35445
59,13987
60,22239
61,25534
62,30449
63,41861
64,39120
65,1402
66,35192
67,4356
68,41235
69,28701
70,25567
71,41335
72,41245
73,36775
74,31928
75,34055
76,19864
77,24149
78,2425
79,39168
80,3717
81,19109
82,41368
83,10014
84,17588
85,16978
86,28130
87,1823
88,10911
89,6651
90,24592
91,10135
92,17181
93,39750
94,8023
95,33141
96,24648
97,22211
98,28853
99,17178
