,0
0,9958
1,2662
2,3250
3,31794
4,31811
5,38231
6,39198
7,33242
8,30328
9,35975
10,6386
11,34827
12,23644
13,30299
14,29131
15,33162
16,262
17,40545
18,23490
19,21429
20,30153
21,39089
22,26872
23,20057
24,40463
25,34670
26,7761
27,208
28,18983
29,33119
30,33613
31,37451
32,18466
33,31345
34,33856
35,39094
36,40290
37,37387
38,29658
39,15483
40,23647
41,28315
42,34527
43,29091
44,30783
45,18543
46,9718
47,30561
48,37028
49,37658
50,35949
51,37082
52,41017
53,29090
54,19090
55,27813
56,19048
57,9701
58,35897
59,29865
60,40282
61,11706
62,41847
63,19201
64,37373
65,29183
66,11668
67,37558
68,26334
69,23595
70,20032
71,38130
72,40752
73,37075
74,11726
75,9013
76,308
77,39204
78,40267
79,13166
80,31283
81,9073
82,15459
83,24819
84,36339
85,30130
86,11765
87,17496
88,33618
89,20764
90,39165
91,10683
92,13493
93,7561
94,20754
95,28381
96,32101
97,6161
98,40541
99,19109
