,0
0,25949
1,35309
2,39065
3,26002
4,1862
5,41841
6,6477
7,1908
8,38350
9,13084
10,20071
11,3289
12,13215
13,25188
14,4927
15,33508
16,1511
17,33952
18,1234
19,34733
20,34627
21,40217
22,5303
23,39865
24,40973
25,41806
26,43133
27,41743
28,9474
29,25818
30,13068
31,17940
32,1351
33,39835
34,38030
35,3449
36,4320
37,16332
38,41815
39,40190
40,40966
41,13257
42,2971
43,2893
44,13323
45,22065
46,4388
47,23022
48,13039
49,23911
50,13198
51,40845
52,24386
53,4324
54,35185
55,10991
56,39557
57,1155
58,39739
59,40166
60,41774
61,5058
62,23021
63,19106
64,34734
65,4973
66,39550
67,14905
68,40253
69,27645
70,41843
71,16211
72,1392
73,38941
74,6536
75,8399
76,25251
77,29914
78,27551
79,39006
80,36823
81,20075
82,2926
83,39635
84,8317
85,32783
86,333
87,29984
88,13335
89,20002
90,40005
91,33926
92,3159
93,1025
94,33878
95,30020
96,10941
97,32773
98,34790
99,35263
