,0
0,7715
1,35342
2,27249
3,12427
4,9442
5,31031
6,38230
7,27718
8,27921
9,14014
10,15029
11,37945
12,38254
13,4857
14,38346
15,17186
16,17200
17,27848
18,10566
19,37984
20,11946
21,27870
22,9048
23,7679
24,17735
25,15794
26,4833
27,35470
28,27789
29,41005
30,3439
31,40920
32,10553
33,24436
34,37895
35,10527
36,4832
37,15016
38,7687
39,35431
40,4790
41,7620
42,7628
43,15883
44,15037
45,7771
46,11870
47,35443
48,7639
49,27719
50,10565
51,10534
52,39727
53,4746
54,37869
55,38255
56,16911
57,4834
58,24351
59,17229
60,32443
61,7713
62,4720
63,4883
64,38318
65,4866
66,40530
67,7423
68,12818
69,28911
70,27864
71,7669
72,14531
73,24679
74,26324
75,27755
76,29302
77,41062
78,27839
79,38345
80,4800
81,3479
82,15879
83,41576
84,11895
85,4787
86,27814
87,37008
88,4751
89,10483
90,33980
91,3679
92,27350
93,10556
94,31005
95,37960
96,40937
97,35341
98,2344
99,32694
