,0
0,40293
1,23366
2,25245
3,39774
4,17287
5,34412
6,26541
7,41845
8,14228
9,34521
10,13169
11,4991
12,36655
13,29942
14,33900
15,14909
16,1597
17,27084
18,13204
19,1060
20,3425
21,6601
22,29959
23,21051
24,31048
25,4968
26,2731
27,33288
28,4318
29,16710
30,40387
31,27551
32,21642
33,8278
34,35287
35,34606
36,10885
37,18287
38,13052
39,32626
40,17242
41,4290
42,20043
43,40029
44,35305
45,5941
46,34427
47,25777
48,2963
49,5014
50,18356
51,17304
52,40340
53,39016
54,4269
55,33164
56,39552
57,18415
58,32677
59,32929
60,22028
61,20105
62,27102
63,4938
64,5325
65,14454
66,14496
67,18138
68,13104
69,21674
70,33383
71,33159
72,5242
73,17373
74,7929
75,33919
76,10850
77,23256
78,25182
79,29751
80,13211
81,18267
82,1959
83,19982
84,25508
85,43208
86,5804
87,13285
88,18261
89,40144
90,23020
91,4327
92,23352
93,40970
94,14879
95,1084
96,23369
97,23378
98,14200
99,21101
