,0
0,37803
1,12518
2,12664
3,34436
4,34658
5,38596
6,39106
7,11957
8,11881
9,39052
10,25892
11,34334
12,8736
13,21120
14,37694
15,42521
16,32148
17,11955
18,11991
19,31026
20,35258
21,37646
22,21121
23,3382
24,36442
25,21110
26,36428
27,35320
28,17415
29,8885
30,12544
31,34684
32,31010
33,38652
34,21042
35,32276
36,14507
37,38618
38,12508
39,12584
40,25998
41,31024
42,13013
43,39049
44,20838
45,25897
46,8816
47,32162
48,36378
49,19266
50,38575
51,31028
52,25918
53,21053
54,37845
55,11851
56,38683
57,39076
58,8894
59,36426
60,38589
61,3821
62,38647
63,25978
64,35301
65,42483
66,38639
67,39071
68,6851
69,42249
70,21024
71,37683
72,39050
73,8920
74,8820
75,8798
76,39124
77,36349
78,8870
79,31050
80,31631
81,41847
82,32118
83,38656
84,10257
85,39107
86,39186
87,42507
88,31592
89,39093
90,37505
91,34723
92,38654
93,18915
94,31073
95,25875
96,25983
97,25895
98,39204
99,36463
