,0
0,6105
1,38361
2,15764
3,15775
4,26880
5,35399
6,26018
7,25857
8,11933
9,11837
10,3529
11,24446
12,23921
13,1787
14,24698
15,3256
16,9323
17,27806
18,12426
19,22913
20,10354
21,20326
22,4902
23,22838
24,10551
25,24834
26,27223
27,29569
28,4811
29,41817
30,8723
31,38310
32,36458
33,11865
34,4793
35,77
36,32656
37,7861
38,29213
39,4877
40,32398
41,11029
42,27730
43,41034
44,24406
45,29480
46,11881
47,42637
48,24477
49,27105
50,3355
51,15784
52,20363
53,15840
54,20995
55,36406
56,29093
57,14316
58,14252
59,32758
60,35410
61,29174
62,4993
63,15830
64,37472
65,39806
66,32361
67,4791
68,41791
69,23660
70,37167
71,27150
72,35501
73,27853
74,7924
75,7799
76,23933
77,16991
78,42130
79,3423
80,36399
81,6144
82,7714
83,24428
84,39989
85,7749
86,40940
87,31476
88,35499
89,7629
90,7700
91,20201
92,20272
93,38200
94,37889
95,32369
96,3332
97,3418
98,11010
99,3300
