,0
0,38273
1,15806
2,27314
3,1846
4,40995
5,27857
6,35399
7,25441
8,15830
9,4857
10,27039
11,24405
12,27802
13,28585
14,29218
15,10580
16,27533
17,38200
18,27853
19,42392
20,40997
21,7704
22,7740
23,38279
24,7635
25,15778
26,39581
27,27718
28,4796
29,7823
30,10633
31,37374
32,33466
33,32451
34,10533
35,3457
36,27975
37,33516
38,4828
39,10505
40,27762
41,38325
42,38339
43,10550
44,24421
45,4893
46,7673
47,15748
48,27838
49,38328
50,27260
51,32746
52,24364
53,15826
54,36164
55,27963
56,38229
57,30641
58,37380
59,4824
60,10502
61,15814
62,23893
63,10641
64,23648
65,35412
66,23703
67,37485
68,30720
69,27481
70,38268
71,15746
72,27809
73,27828
74,26987
75,10133
76,27759
77,20409
78,36160
79,10620
80,4835
81,41025
82,27962
83,24419
84,4853
85,38310
86,7777
87,7749
88,15862
89,4830
90,15851
91,27820
92,38270
93,8957
94,27379
95,38256
96,7662
97,28001
98,10535
99,7815
