,0
0,9737
1,35997
2,2079
3,27169
4,611
5,16363
6,5526
7,1654
8,19879
9,25148
10,19926
11,38536
12,39976
13,16298
14,25106
15,1603
16,35632
17,16381
18,22352
19,11640
20,18405
21,9725
22,9760
23,19914
24,39990
25,1567
26,36021
27,38376
28,1543
29,12616
30,12649
31,9711
32,25043
33,30567
34,1551
35,38993
36,18273
37,38913
38,38386
39,38505
40,7719
41,22470
42,7637
43,2026
44,7698
45,30575
46,19888
47,36630
48,34634
49,25090
50,3616
51,36069
52,16353
53,7643
54,25034
55,36604
56,38981
57,22434
58,38439
59,38938
60,12103
61,9059
62,4038
63,39927
64,42637
65,1614
66,12624
67,40988
68,38896
69,25113
70,40738
71,16331
72,38954
73,1650
74,39951
75,16390
76,3602
77,9009
78,1545
79,38467
80,39945
81,39920
82,7613
83,40909
84,25726
85,36048
86,12586
87,9653
88,36621
89,7631
90,6473
91,3613
92,38517
93,25065
94,12672
95,11655
96,38944
97,38392
98,39908
99,12533
