,0
0,19956
1,30153
2,30253
3,3650
4,15439
5,36413
6,26515
7,42711
8,728
9,15351
10,36702
11,18735
12,21042
13,40908
14,4030
15,20859
16,24132
17,4395
18,12132
19,25735
20,15883
21,35256
22,35801
23,14582
24,31745
25,7301
26,41731
27,28083
28,2790
29,14295
30,24274
31,41891
32,26135
33,22373
34,37332
35,40384
36,36932
37,12412
38,27465
39,30780
40,31033
41,37204
42,33682
43,12349
44,34731
45,209
46,9874
47,18329
48,17419
49,23362
50,16846
51,31664
52,43181
53,34826
54,30575
55,25948
56,37657
57,38156
58,34507
59,12092
60,5248
61,24909
62,18038
63,41677
64,20658
65,34361
66,28282
67,1510
68,37598
69,19493
70,20284
71,42769
72,33316
73,2629
74,21421
75,32739
76,14618
77,1542
78,31672
79,41729
80,11039
81,18328
82,781
83,24986
84,28303
85,28121
86,34820
87,20604
88,6552
89,42839
90,21742
91,35730
92,30445
93,11056
94,22526
95,4959
96,12072
97,35650
98,36964
99,2955
