,0
0,12678
1,23360
2,33139
3,33395
4,34131
5,30573
6,26488
7,3275
8,28577
9,24574
10,35958
11,15708
12,33421
13,30482
14,33246
15,30555
16,41235
17,30490
18,10712
19,33439
20,35360
21,33218
22,42620
23,34084
24,33157
25,30456
26,8792
27,33974
28,35843
29,33255
30,30198
31,33442
32,34010
33,24624
34,34120
35,36698
36,24511
37,25414
38,10686
39,36009
40,12272
41,40195
42,12220
43,24062
44,24159
45,26453
46,5213
47,27546
48,37256
49,42733
50,25844
51,34026
52,40182
53,28641
54,5177
55,30759
56,42676
57,3353
58,33435
59,33244
60,24162
61,26365
62,30433
63,3301
64,33353
65,10818
66,33198
67,30901
68,33231
69,33236
70,10646
71,37218
72,37187
73,38297
74,39207
75,28621
76,26571
77,25401
78,42646
79,12311
80,25605
81,42628
82,30463
83,33182
84,33364
85,25550
86,30547
87,23154
88,42670
89,42599
90,8
91,25591
92,7
93,26498
94,12682
95,33227
96,42692
97,40565
98,25570
99,28606
