,0
0,21782
1,19943
2,39029
3,17311
4,38893
5,34383
6,33125
7,2712
8,23010
9,19951
10,41907
11,22004
12,4911
13,13565
14,2979
15,20340
16,25222
17,33157
18,5746
19,1300
20,25863
21,19993
22,3401
23,4263
24,33825
25,13680
26,3638
27,40132
28,34309
29,41801
30,19818
31,1391
32,1440
33,41777
34,38908
35,33852
36,13604
37,1508
38,2981
39,5754
40,21698
41,40242
42,20776
43,40969
44,30055
45,5512
46,25987
47,1196
48,17337
49,35502
50,19880
51,25267
52,32616
53,20379
54,40973
55,4303
56,25873
57,33450
58,18197
59,5260
60,13632
61,38960
62,38919
63,36605
64,21051
65,10964
66,10864
67,17235
68,40093
69,41852
70,23881
71,23149
72,2874
73,40250
74,25938
75,14405
76,38973
77,4355
78,1029
79,10989
80,35158
81,8337
82,19860
83,8421
84,4358
85,39016
86,30080
87,20029
88,36632
89,33211
90,23038
91,21663
92,1188
93,34584
94,22091
95,1209
96,9978
97,1106
98,25202
99,21693
