,0
0,33644
1,13910
2,22029
3,12219
4,36318
5,13662
6,15308
7,2602
8,5895
9,3533
10,5824
11,25856
12,38204
13,22402
14,13702
15,20111
16,13829
17,1616
18,23371
19,33513
20,25987
21,2632
22,5585
23,21723
24,17100
25,21380
26,23934
27,33670
28,21434
29,5866
30,10134
31,11818
32,28901
33,1169
34,25946
35,14756
36,26002
37,2643
38,20506
39,27657
40,33680
41,8435
42,6727
43,13725
44,20643
45,29249
46,30163
47,15257
48,7962
49,11855
50,23439
51,28139
52,11758
53,29221
54,502
55,18868
56,13872
57,14718
58,29046
59,20450
60,1499
61,13670
62,19191
63,38045
64,26935
65,23918
66,20484
67,39180
68,5890
69,1580
70,21424
71,2615
72,14799
73,2686
74,25922
75,3160
76,1637
77,33480
78,14848
79,27567
80,4222
81,29835
82,38239
83,35490
84,29185
85,6776
86,9974
87,18320
88,18984
89,30234
90,22027
91,11881
92,26869
93,1975
94,23330
95,28099
96,9977
97,3150
98,3427
99,36438
