,0
0,25153
1,25781
2,25139
3,25712
4,37438
5,16311
6,35593
7,26220
8,9661
9,4218
10,8985
11,18399
12,14533
13,4939
14,25117
15,9787
16,39006
17,36154
18,25113
19,37405
20,1671
21,18290
22,7641
23,7678
24,36147
25,18288
26,39482
27,9114
28,22824
29,12649
30,37401
31,9777
32,42262
33,4211
34,37986
35,12608
36,25799
37,38941
38,7725
39,37010
40,36155
41,7758
42,5030
43,9761
44,9768
45,36105
46,30745
47,7704
48,37373
49,37385
50,12646
51,18354
52,7722
53,16273
54,40908
55,9022
56,36024
57,25824
58,4213
59,36175
60,9748
61,36032
62,15222
63,25725
64,12632
65,36128
66,37999
67,16317
68,7877
69,9700
70,36020
71,16379
72,38963
73,38915
74,36116
75,30628
76,25796
77,16298
78,38540
79,25762
80,39017
81,38907
82,12543
83,6311
84,6374
85,6390
86,12510
87,36011
88,26362
89,4978
90,5070
91,36004
92,12523
93,18371
94,18332
95,7737
96,18298
97,12644
98,22826
99,36053
