,0
0,1776
1,27947
2,30536
3,17242
4,40548
5,21115
6,8138
7,1793
8,15726
9,33605
10,25896
11,6045
12,23981
13,24347
14,24338
15,17017
16,32428
17,3382
18,1697
19,29742
20,11843
21,29105
22,26955
23,22322
24,26117
25,1728
26,24818
27,27091
28,32759
29,3526
30,3461
31,38272
32,37919
33,41744
34,40907
35,23530
36,29130
37,12402
38,37951
39,3430
40,5895
41,32577
42,13770
43,11375
44,32425
45,805
46,15027
47,5752
48,27064
49,27139
50,59
51,7638
52,41079
53,32409
54,32290
55,4802
56,4852
57,7942
58,25376
59,3540
60,89
61,3458
62,27877
63,35343
64,32779
65,20151
66,27122
67,15732
68,29227
69,27005
70,20253
71,7639
72,9719
73,24422
74,9776
75,26018
76,20226
77,70
78,27802
79,9333
80,15769
81,7636
82,13743
83,15806
84,12349
85,13428
86,11842
87,7845
88,11042
89,11895
90,35453
91,19496
92,25826
93,32357
94,10621
95,24754
96,27121
97,35336
98,11465
99,29163
