,0
0,33400
1,33420
2,38919
3,18270
4,4017
5,37877
6,28434
7,19839
8,31630
9,11939
10,38540
11,40450
12,40279
13,8670
14,11839
15,2860
16,26103
17,40410
18,26992
19,39843
20,19961
21,13337
22,26970
23,15435
24,27815
25,41202
26,35523
27,13309
28,13243
29,25040
30,38879
31,35591
32,15273
33,25387
34,8654
35,8751
36,35640
37,18339
38,12622
39,31959
40,25024
41,37915
42,11030
43,8678
44,36644
45,18396
46,22355
47,27737
48,26193
49,9646
50,11837
51,18359
52,38985
53,3907
54,1533
55,7752
56,38008
57,18537
58,27774
59,22455
60,27793
61,16257
62,27877
63,27527
64,12590
65,36099
66,3262
67,30428
68,27795
69,35646
70,37008
71,39295
72,32057
73,36038
74,34640
75,7673
76,38512
77,12556
78,26935
79,25774
80,11510
81,36071
82,22464
83,27838
84,15414
85,15330
86,36153
87,18325
88,25409
89,38950
90,28513
91,11002
92,37005
93,25465
94,12563
95,42314
96,27849
97,31978
98,10985
99,25490
