,0
0,41597
1,42945
2,31902
3,11656
4,24685
5,34026
6,11748
7,37171
8,34569
9,31851
10,24516
11,31803
12,34538
13,34407
14,22604
15,40981
16,39207
17,38028
18,27819
19,10737
20,30312
21,11603
22,20796
23,8306
24,42291
25,34150
26,37149
27,24549
28,40743
29,24647
30,30279
31,41591
32,34097
33,18529
34,11668
35,29748
36,30404
37,9747
38,18452
39,37151
40,42358
41,936
42,28391
43,2545
44,34356
45,18436
46,17225
47,1011
48,18483
49,34025
50,43088
51,38031
52,20944
53,41392
54,22626
55,34319
56,29076
57,2664
58,43065
59,38164
60,31954
61,17069
62,30419
63,20814
64,40970
65,40935
66,35655
67,9892
68,42808
69,38087
70,7709
71,30370
72,34366
73,988
74,18459
75,42345
76,40778
77,38148
78,34568
79,11531
80,28392
81,18498
82,31923
83,34436
84,40868
85,29181
86,9840
87,40781
88,38134
89,40776
90,13519
91,11601
92,17574
93,33985
94,43039
95,9918
96,40827
97,17121
98,38063
99,38041
