,0
0,25019
1,18526
2,8919
3,10773
4,8880
5,985
6,26511
7,30550
8,33973
9,10852
10,30456
11,35477
12,26386
13,30455
14,33274
15,1854
16,33972
17,10704
18,918
19,26477
20,10934
21,3755
22,28885
23,26502
24,991
25,42690
26,26626
27,26601
28,18961
29,30479
30,27386
31,26630
32,831
33,12834
34,26421
35,18616
36,10844
37,6461
38,12681
39,42629
40,23477
41,29418
42,26478
43,927
44,3749
45,33152
46,10958
47,26695
48,42633
49,34085
50,35438
51,33127
52,18451
53,30446
54,34022
55,19914
56,34005
57,26622
58,940
59,964
60,26603
61,43104
62,21299
63,21670
64,33272
65,29751
66,33182
67,34052
68,34117
69,33997
70,33172
71,25676
72,29756
73,10906
74,30489
75,18455
76,10789
77,43106
78,10829
79,30420
80,35815
81,22287
82,42624
83,42595
84,33252
85,836
86,4367
87,982
88,26600
89,19889
90,10791
91,29752
92,905
93,26486
94,14207
95,701
96,23490
97,9228
98,10819
99,835
