,0
0,42342
1,22314
2,39592
3,36099
4,42377
5,32294
6,37883
7,37086
8,17064
9,42276
10,41795
11,26624
12,2867
13,32290
14,4401
15,26754
16,37985
17,32288
18,22373
19,29236
20,22436
21,37167
22,22712
23,40895
24,41815
25,6940
26,10416
27,41798
28,36685
29,36068
30,26124
31,22419
32,37776
33,22489
34,10462
35,29132
36,33119
37,42316
38,41417
39,22817
40,7071
41,40794
42,37789
43,39648
44,10456
45,4069
46,33943
47,41834
48,7925
49,36723
50,10364
51,32440
52,41830
53,37030
54,37051
55,33958
56,40790
57,8997
58,40777
59,41785
60,31512
61,33624
62,25453
63,7045
64,22297
65,39579
66,41797
67,41862
68,18473
69,36023
70,36019
71,22833
72,37848
73,39631
74,40830
75,41414
76,36095
77,25592
78,32445
79,22431
80,39640
81,4132
82,22846
83,32384
84,37731
85,40808
86,7083
87,27208
88,37148
89,22323
90,40837
91,22414
92,26169
93,597
94,545
95,41409
96,33904
97,33461
98,3677
99,39740
