,0
0,26321
1,37805
2,20328
3,27571
4,41815
5,21058
6,17151
7,20893
8,39979
9,35275
10,39940
11,1604
12,40116
13,14855
14,35270
15,19192
16,31769
17,26949
18,10299
19,38692
20,19208
21,16041
22,38597
23,8860
24,37807
25,31962
26,37809
27,29209
28,21217
29,16052
30,33782
31,21023
32,20864
33,41860
34,11763
35,12918
36,40069
37,1704
38,19171
39,23063
40,25312
41,31619
42,21114
43,28712
44,26178
45,35253
46,33557
47,41763
48,21079
49,21018
50,29580
51,1833
52,27568
53,3548
54,2585
55,17620
56,25868
57,36405
58,28840
59,2034
60,42483
61,17973
62,4282
63,4718
64,36494
65,17975
66,38459
67,2556
68,1632
69,1678
70,17617
71,12431
72,34933
73,6954
74,41811
75,33588
76,1737
77,16678
78,40140
79,8898
80,18035
81,14785
82,41905
83,29858
84,36422
85,17728
86,21265
87,38584
88,12393
89,2375
90,29206
91,2605
92,29202
93,29792
94,26690
95,38671
96,17105
97,33569
98,30068
99,2178
