,0
0,29432
1,18936
2,26510
3,13634
4,35713
5,1836
6,7397
7,14044
8,3278
9,41530
10,13523
11,37996
12,37728
13,34829
14,5485
15,29171
16,34823
17,31591
18,31585
19,36107
20,31588
21,7206
22,19872
23,6967
24,23937
25,23393
26,14056
27,13654
28,7189
29,41221
30,41091
31,31595
32,31600
33,10421
34,18351
35,35676
36,39971
37,19500
38,33509
39,33983
40,42252
41,41220
42,39727
43,13643
44,17528
45,7410
46,26029
47,11896
48,35711
49,19944
50,23386
51,22136
52,29205
53,3254
54,6117
55,21228
56,25459
57,6124
58,11909
59,8226
60,14072
61,7256
62,22785
63,8204
64,19864
65,25351
66,40867
67,19941
68,2788
69,8178
70,10382
71,2288
72,7242
73,33428
74,29406
75,23411
76,19821
77,8125
78,13572
79,10437
80,41132
81,14043
82,25504
83,7283
84,29154
85,23490
86,19828
87,4895
88,33971
89,34116
90,11655
91,3566
92,37901
93,1708
94,9828
95,17900
96,37697
97,32824
98,29423
99,36152
