,0
0,17385
1,30011
2,13081
3,18309
4,4944
5,8422
6,18798
7,23884
8,13098
9,13341
10,31044
11,29895
12,13069
13,17375
14,7798
15,34608
16,1000
17,37296
18,25206
19,2964
20,18075
21,4914
22,14314
23,36539
24,36679
25,34650
26,10905
27,14982
28,33880
29,25203
30,38882
31,14880
32,23385
33,3712
34,5762
35,25711
36,13344
37,27183
38,33571
39,34662
40,16172
41,17323
42,40615
43,21988
44,8410
45,18192
46,25215
47,18367
48,19934
49,20800
50,19919
51,10973
52,32752
53,2846
54,25251
55,10995
56,8390
57,6717
58,23931
59,2841
60,41014
61,1910
62,30053
63,10945
64,39874
65,43127
66,14226
67,31395
68,40347
69,330
70,5954
71,20044
72,41016
73,27586
74,34313
75,27117
76,14351
77,41989
78,1060
79,34352
80,25951
81,38030
82,6637
83,27652
84,34748
85,8427
86,7774
87,39911
88,9809
89,14893
90,4348
91,33800
92,36816
93,34214
94,23168
95,30016
96,43005
97,1345
98,34564
99,33846
