,0
0,31313
1,24137
2,30499
3,28799
4,9556
5,8841
6,19800
7,41334
8,22535
9,14469
10,39944
11,34098
12,10060
13,34108
14,37237
15,22440
16,40102
17,8035
18,28666
19,2423
20,10663
21,25619
22,27479
23,27429
24,23140
25,22622
26,1010
27,17523
28,34884
29,39096
30,17737
31,16044
32,31398
33,10005
34,9547
35,22365
36,22874
37,8094
38,34026
39,10791
40,24376
41,23976
42,41761
43,24181
44,904
45,28150
46,22572
47,39783
48,30444
49,26116
50,28597
51,35376
52,27423
53,42708
54,17654
55,22886
56,28126
57,27399
58,4255
59,35425
60,41893
61,41379
62,24051
63,30097
64,30775
65,24520
66,888
67,964
68,891
69,24082
70,13013
71,26639
72,1003
73,13066
74,26694
75,10799
76,25610
77,28543
78,26433
79,33188
80,23838
81,31362
82,33973
83,34977
84,3750
85,3749
86,41822
87,31307
88,6599
89,21722
90,27447
91,23855
92,9543
93,36329
94,30307
95,10043
96,1854
97,7947
98,9485
99,42756
