,0
0,37359
1,26437
2,26752
3,25987
4,20511
5,13688
6,6562
7,31133
8,38314
9,21324
10,18959
11,31170
12,39135
13,31198
14,9820
15,18332
16,1510
17,16787
18,38334
19,13690
20,4795
21,31255
22,6688
23,5811
24,3140
25,4127
26,25514
27,3547
28,6424
29,1514
30,18381
31,27635
32,3049
33,9978
34,36206
35,18764
36,17081
37,27987
38,3518
39,30175
40,26511
41,31112
42,21461
43,12331
44,17331
45,25731
46,1672
47,20956
48,29254
49,16828
50,2613
51,18352
52,31258
53,40051
54,6423
55,3045
56,26835
57,29239
58,21377
59,15372
60,11732
61,11764
62,11825
63,4172
64,30224
65,34555
66,11757
67,23322
68,37451
69,19094
70,5772
71,11674
72,2669
73,30153
74,26844
75,37464
76,29370
77,15258
78,30139
79,18794
80,4197
81,39048
82,2552
83,40925
84,9960
85,2633
86,38286
87,26751
88,10044
89,25709
90,33667
91,27609
92,5956
93,6072
94,4145
95,19252
96,26749
97,11666
98,6449
99,27670
