,0
0,22594
1,22480
2,5100
3,30497
4,42662
5,6665
6,33196
7,20113
8,5916
9,33198
10,34124
11,42659
12,22522
13,10607
14,6596
15,20115
16,42721
17,10674
18,30536
19,4308
20,22499
21,6613
22,22547
23,26691
24,4236
25,24531
26,42685
27,7773
28,26413
29,10831
30,4325
31,22563
32,5099
33,10867
34,42611
35,5112
36,6135
37,24595
38,4243
39,39727
40,22558
41,31339
42,22519
43,10780
44,13049
45,10816
46,4350
47,26528
48,4309
49,1698
50,33201
51,5116
52,10686
53,4349
54,33159
55,19794
56,10747
57,4347
58,24571
59,36176
60,42736
61,13145
62,33256
63,10688
64,17497
65,35438
66,6187
67,24607
68,12499
69,5091
70,5151
71,33191
72,13090
73,39205
74,24535
75,42692
76,33133
77,42673
78,42599
79,28552
80,20118
81,35478
82,27431
83,22494
84,34085
85,12298
86,6619
87,10668
88,22333
89,19781
90,24652
91,6647
92,13402
93,33144
94,31357
95,19775
96,24557
97,4299
98,42683
99,24583
