,0
0,34829
1,30104
2,23664
3,28158
4,27472
5,25221
6,41595
7,33644
8,31402
9,28470
10,28818
11,34959
12,3732
13,9498
14,28739
15,6693
16,26509
17,9507
18,34727
19,41357
20,2534
21,2469
22,7410
23,39798
24,21734
25,24591
26,14239
27,28446
28,28825
29,17687
30,3215
31,39907
32,36704
33,32187
34,23749
35,20443
36,3740
37,42652
38,13030
39,35237
40,20375
41,12052
42,26515
43,21733
44,37339
45,26543
46,23778
47,16171
48,34080
49,1750
50,31323
51,26652
52,24291
53,28067
54,10827
55,26457
56,34904
57,24800
58,8048
59,7289
60,2434
61,20752
62,35440
63,36787
64,11991
65,28886
66,33275
67,25995
68,34006
69,30450
70,11623
71,22471
72,25273
73,10726
74,11531
75,3650
76,8921
77,41461
78,28062
79,35397
80,10083
81,22224
82,26698
83,25879
84,32113
85,37561
86,37195
87,945
88,30442
89,40879
90,31419
91,40134
92,10707
93,37192
94,37180
95,22189
96,22467
97,22056
98,11528
99,1593
