,0
0,39931
1,7426
2,12874
3,23966
4,24872
5,24425
6,11452
7,1467
8,1151
9,19154
10,30
11,17364
12,42835
13,21018
14,21385
15,34658
16,37469
17,37781
18,18502
19,28410
20,1088
21,6617
22,320
23,24440
24,33293
25,21073
26,27404
27,37204
28,9688
29,27121
30,17247
31,43091
32,3745
33,5180
34,5105
35,36130
36,22686
37,1358
38,27876
39,20789
40,13339
41,18472
42,24558
43,39994
44,1390
45,37995
46,21437
47,2529
48,1863
49,23620
50,10650
51,26649
52,33196
53,3862
54,27138
55,248
56,23960
57,37925
58,36376
59,19237
60,17406
61,21305
62,29521
63,3965
64,1155
65,9700
66,27203
67,84
68,13237
69,32219
70,9681
71,333
72,34137
73,24959
74,19134
75,23654
76,1500
77,20995
78,36124
79,13225
80,5175
81,30631
82,12951
83,17093
84,42724
85,32183
86,1426
87,40253
88,39953
89,12915
90,1019
91,23914
92,27432
93,27176
94,37825
95,26677
96,27091
97,37747
98,22790
99,40322
