,number,size,inter,residual
0,0.0,0.0012948771985802053,0.999980553008051,
1,7.613053904040065e-220,2.6328350512767755e-14,7.616524437071898e-06,
2,0.0,0.080653303884626,0.9839705930416929,
3,0.0,0.003560605072266819,0.2218484414939639,
4,0.0,0.2554951773350023,0.9958373727880195,
5,0.0,0.04258544447277514,0.8471238226060825,
6,0.0,0.0017421211887724858,0.4199799791900456,
7,0.0,0.04740587985026066,0.9332442328015205,
8,0.0,0.6777348211851196,0.9468629695286651,
9,0.0,0.14184280209083186,0.999998404492476,
10,0.0,0.0032754977939451675,0.43678089757167515,
11,0.0,0.03822223876319446,0.9977567183186838,
12,3.7550670285954014e-27,0.03342669497305595,0.9618099820760787,
13,0.0,1.5849353119327858e-07,0.9999856017238014,
14,0.0,0.8853419488452305,0.9617655285920744,
15,0.0,8.151761525591845e-20,0.9993943517488557,
16,0.0,2.192886924348366e-29,0.9999786479811884,
17,0.0,4.6284231371432615e-45,0.98227313374587,
18,0.0,4.392316255068286e-44,0.9999719900163884,
19,0.0,8.582866248266189e-38,0.9999844040444321,
20,0.0,4.185303939631234e-34,0.9999999647988427,
21,0.0,8.965725663991623e-45,0.9999994118313847,
22,0.0,5.754476136550979e-71,0.9835941888740203,
23,0.0,1.6261895717613293e-36,0.9977697956369078,
24,0.0,1.0606073441255044e-102,0.408634641159476,
25,0.0,6.089603121993533e-34,0.19124854775340056,
26,0.0,0.001339348812707237,0.7728669972117787,
27,0.0,0.9568893777150752,0.9328374698616075,
28,0.0,0.0034030921452461583,0.23288342811576337,
29,0.0,0.3899306341194176,0.894362835694041,
30,0.0,0.004355563030710303,0.9996603045829072,
31,0.0,0.0002698207477708283,0.9993752487593358,
32,0.0,0.10151122771554381,0.9646011152750701,
33,0.0,0.005131149979336206,0.9999092797316957,
34,0.0,0.00026512851870493003,0.9873753385815238,
35,0.0,5.41226716307867e-21,0.9998475455722223,
36,0.0,1.2368347404560482e-13,0.9213529055026264,
37,0.0,5.6686407806763835e-83,0.9743696267416625,
38,0.0,2.2962321579966874e-24,0.9282509619238075,
39,0.0,0.0927109186907675,0.9990894319477349,
40,0.0,0.5964075412109482,0.006803625782934158,
41,0.0,0.046946623996945436,0.07524825080562669,
42,0.0,0.11990918784310065,0.3524716007133077,
43,0.0,5.401980400471967e-05,0.9724103572680765,
44,0.0,0.004976585269067184,0.961485104468834,
45,0.0,0.015805263144092783,0.7033440415754314,
46,0.0,0.00013561596248457968,0.3289974346242001,
47,0.0,2.687987735606826e-10,0.5594883987929111,
48,0.0,7.6605907486608475e-25,0.9316807843203009,
49,0.0,1.5372747957206968e-14,0.8364062607813063,
50,0.0,1.0347311665695172e-83,0.9278193124654311,
51,0.0,0.010066235759553356,0.9999993951655524,
52,0.0,7.43881098750344e-07,0.9999994759918587,
53,0.0,0.30686795932271355,0.002802563697611255,
54,0.0,2.5095100228639725e-05,0.015921244665734594,
55,0.0,0.10477846118175996,0.6811861221185014,
56,0.0,0.00034995560008175945,0.9771712195567102,
57,0.0,0.00010435858476819263,0.9500144460683879,
58,0.0,1.0225521001764794e-06,0.4396179869634807,
59,0.0,0.0010769832942090624,0.13498805426439195,
60,0.0,5.8029764205589456e-08,0.9149061988385244,
61,0.0,4.28906790101998e-24,0.6834721597387872,
62,0.0,5.218200476611334e-16,0.9353656132785749,
63,0.0,2.4274355253589052e-88,0.5808687864211002,
64,0.0,0.34595907433370077,0.9999999996253444,
65,0.0,2.1955750464533845e-05,0.9999983386509175,
66,0.0,0.15987048840868648,0.0322588020711585,
67,0.0,6.711774484926976e-06,0.036270121941980614,
68,0.0,0.507993354041157,0.3665055977476485,
69,0.0,0.00023924842014922678,0.9043002947674321,
70,0.0,0.00011231006617121061,0.9333638215907528,
71,0.0,0.0002699445392620284,0.2805786169062562,
72,0.0,0.0028080440218479497,0.10748787556592967,
73,0.0,8.989896153127418e-05,0.8152415558932347,
74,0.0,2.0199872954154426e-15,0.09775290844354394,
75,0.0,5.24816845840518e-07,0.4487923117666888,
76,0.0,1.9487652119720545e-77,0.9666563372319654,
77,0.0,0.45376886566017716,0.9999999999839857,
78,0.0,0.000440192298154345,0.9994587904141519,
79,0.0,0.04882722188788195,0.0002967248285538255,
80,0.0,1.3747094976654407e-06,0.00010820035013955842,
81,0.0,0.8996003982699909,0.03608317482921378,
82,0.0,0.0026260782111826903,0.8612650172944285,
83,0.0,0.0003202867639456831,0.863572316930442,
84,0.0,1.440139664247882e-05,0.691311826500755,
85,0.0,0.0005950300781555081,0.46073845367228006,
86,0.0,5.073884195097262e-07,0.2232124958239567,
87,0.0,9.167910199094934e-19,0.5942595571964998,
88,0.0,1.9744373985741906e-08,0.22432763224839483,
89,0.0,3.791008734385893e-88,0.9296159658739467,
90,0.0,0.16111824074980471,0.99999997554328,
91,0.0,0.009920499068654987,0.9999986006219742,
92,0.0,0.1782027594380418,0.001969634757650286,
93,0.0,1.4800470111477858e-07,5.485391255323051e-05,
94,0.0,0.9687768346265384,0.01727452720966463,
95,0.0,0.03226393153580252,0.8891850460398687,
96,0.0,0.0075510702754122356,0.8273379502367529,
97,0.0,0.009555523258714367,0.25703239479264267,
98,0.0,0.013361058090084048,0.07804242034108765,
99,0.0,7.705626897033294e-07,0.4526215495207441,
100,0.0,1.248205778512436e-15,0.496008741193952,
101,0.0,3.169881492852036e-12,0.4848714743836262,
102,0.0,1.6774057238071686e-87,0.7851967965714219,
103,0.0,0.6664261257079693,0.9999999990125894,
104,0.0,0.0033139427978677973,0.9999998875364594,
105,0.0,0.9267049457918386,0.7266890817805609,
106,0.0,1.7187758617852476e-05,0.00793015611555549,
107,0.0,0.9915552745855352,0.349384007395134,
108,0.0,0.029639844141552716,0.8235160259578655,
109,0.0,0.0668024027900365,0.5210569726020033,
110,0.0,0.17190873899899406,0.5742457544370994,
111,0.0,0.16110410241909218,0.33836317471505734,
112,0.0,3.443422754091905e-05,0.8230900185230825,
113,0.0,4.367525530753256e-12,0.19767895543321523,
114,0.0,2.349784246112227e-07,0.4155777508371629,
115,0.0,1.2653195009121405e-70,0.5404780792016888,
116,0.0,0.9592571609918964,0.9999999996482689,
117,0.0,0.01822859156285585,0.9999999723502875,
118,0.0,0.0037331980005797702,0.004433894817221658,
119,0.0,6.695707224693881e-11,0.0012569997162431323,
120,0.0,0.7855105580094823,0.7503112880863334,
121,0.0,0.04253351151241964,0.9746923255576755,
122,0.0,0.2525401709079424,0.5198619453240939,
123,0.0,0.48118261063056744,0.46157023013444914,
124,0.0,0.0868036781631881,0.42043495295398803,
125,0.0,0.0007570594100445627,0.33723826913074095,
126,0.0,1.517248623823162e-11,0.24210334242407183,
127,0.0,3.0910346170020996e-11,0.9194965663869566,
128,0.0,1.093504718750453e-67,0.9783535905611338,
129,0.0,0.0937667097173596,0.9999999997503476,
130,3.1293590158341664e-296,0.18685611381026093,0.999999957914063,
131,0.0,1.3521116017510803e-17,0.037213898769888114,
