,num1,num2,sz1,sz2,img1,img2
0,1,8,9,4,439,350
1,8,1,5,4,446,310
2,8,2,9,8,383,245
3,8,1,5,8,82,49
4,4,5,3,7,332,179
5,8,2,8,5,324,468
6,8,2,6,4,274,229
7,5,3,5,3,457,441
8,7,2,9,4,488,141
9,8,3,9,3,113,395
10,1,8,4,3,318,309
11,1,6,4,3,386,370
12,8,4,7,3,206,157
13,6,1,5,9,3,478
14,6,4,4,8,133,374
15,6,1,7,4,320,375
16,8,1,4,3,476,338
17,4,8,5,8,233,267
18,7,3,4,9,286,204
19,2,5,7,9,28,89
20,1,8,9,5,437,171
21,3,8,5,9,148,218
22,1,2,8,6,57,253
23,7,1,5,9,12,159
24,4,3,5,3,396,101
25,7,3,3,5,483,467
26,4,6,5,7,47,420
27,5,6,7,8,434,12
28,1,8,9,4,429,461
29,7,6,4,8,338,123
30,4,2,4,5,142,339
31,2,3,8,6,396,341
32,3,6,4,8,391,181
33,5,1,3,4,53,498
34,5,2,5,8,280,204
35,1,7,5,4,84,70
36,8,7,4,9,393,351
37,8,3,3,7,472,386
38,5,7,6,7,310,212
39,5,4,3,9,41,337
40,6,7,7,9,93,461
41,1,3,6,8,69,182
42,2,5,5,7,199,229
43,1,8,8,5,200,139
44,1,2,4,5,223,269
45,3,7,3,9,37,200
46,2,4,7,8,183,69
47,1,3,8,5,193,416
48,3,7,6,3,174,435
49,3,1,7,5,100,314
50,2,8,4,3,130,319
51,2,7,5,8,140,218
52,8,4,3,9,120,99
53,6,3,6,5,198,436
54,5,3,8,7,99,244
55,6,2,8,4,140,310
56,7,5,4,6,67,17
57,1,6,3,6,159,165
58,6,7,9,7,167,378
59,8,4,3,5,387,58
60,5,4,5,3,366,36
61,8,2,5,9,21,436
62,6,4,4,7,147,244
63,5,2,9,5,119,167
64,7,3,9,3,423,421
65,6,5,5,9,338,213
66,7,5,6,7,122,158
67,8,6,9,5,232,257
68,6,8,5,7,122,23
69,1,3,5,7,418,386
70,7,3,9,6,170,334
71,4,2,7,5,34,490
72,5,3,7,4,11,496
73,1,6,3,8,248,82
74,3,2,6,3,369,292
75,1,8,5,7,212,295
76,4,3,5,3,37,279
77,6,4,5,3,297,29
78,2,1,7,6,277,461
79,8,3,3,6,136,144
80,1,6,6,3,60,177
81,3,4,8,7,159,481
82,2,6,6,5,79,178
83,1,3,5,6,449,361
84,6,8,6,7,2,104
85,6,5,3,8,228,471
86,4,2,5,6,444,271
