,num1,num2,sz1,sz2,img1,img2
0,8,4,4,7,71,240
1,7,3,6,5,132,209
2,2,7,7,9,409,127
3,7,3,3,5,131,284
4,7,2,6,8,281,376
5,2,1,9,5,389,164
6,1,6,4,5,90,42
7,7,6,9,7,52,254
8,7,1,3,5,259,385
9,1,8,7,5,407,375
10,7,5,5,7,36,192
11,4,7,4,8,391,152
12,1,4,7,9,20,428
13,3,1,7,8,473,485
14,5,2,7,3,302,17
15,3,1,7,4,261,14
16,1,3,9,4,111,406
17,2,4,8,5,469,333
18,2,4,8,3,28,107
19,6,3,6,9,294,29
20,3,8,3,6,496,193
21,5,8,4,9,157,181
22,1,7,4,6,489,138
23,3,1,4,5,411,58
24,5,2,5,8,94,472
25,1,8,9,8,348,402
26,1,2,9,4,2,224
27,5,2,9,8,408,30
28,8,4,9,8,316,20
29,1,6,5,6,442,61
30,7,5,4,3,475,398
31,8,2,9,5,26,297
32,4,3,6,5,178,315
33,8,1,3,8,395,374
34,6,5,4,6,341,259
35,3,4,6,3,460,154
36,6,3,8,5,143,245
37,4,2,7,8,348,323
38,2,8,5,9,346,232
39,6,8,3,4,168,116
40,2,8,3,6,426,462
41,7,4,7,3,455,32
42,3,4,8,3,268,301
43,7,8,3,4,390,300
44,1,5,7,6,257,173
45,2,5,7,8,36,51
46,1,7,3,6,236,170
47,3,4,7,6,356,80
48,6,7,5,3,84,15
49,8,5,8,4,12,186
50,7,2,4,8,347,291
51,8,7,9,8,126,269
52,3,1,5,6,367,465
53,3,5,5,7,91,357
54,7,4,6,5,410,437
55,1,2,3,4,61,117
56,7,1,8,9,390,150
57,2,1,9,8,102,495
58,8,3,9,6,9,485
59,6,1,5,4,171,224
60,8,2,4,5,436,141
61,7,1,7,4,354,37
62,4,5,9,7,74,221
63,3,5,3,5,129,120
64,3,8,3,8,82,434
65,7,5,5,6,159,55
66,3,6,7,4,284,65
67,5,1,7,8,153,198
68,5,2,6,8,61,357
69,3,1,6,5,389,29
70,3,8,8,9,246,266
71,5,3,7,4,347,83
72,7,4,7,9,48,366
73,3,8,6,5,209,298
74,2,8,9,3,30,241
75,1,3,6,4,89,451
76,1,2,4,8,61,48
77,6,8,6,7,78,214
78,3,7,4,5,224,207
79,7,6,9,4,337,442
80,2,3,3,7,190,22
81,6,2,5,9,276,112
82,5,6,3,8,217,290
83,3,8,9,4,323,100
84,1,3,6,4,239,151
85,1,8,9,8,200,3
86,4,2,9,5,126,178
87,4,1,7,3,109,414
88,4,7,5,9,296,241
89,7,5,5,4,399,28
90,4,6,5,7,250,41
91,1,8,6,7,495,164
92,7,6,5,6,6,356
93,2,1,4,9,63,327
94,4,7,9,8,258,44
95,4,6,3,7,390,329
96,2,6,7,6,11,424
97,4,3,9,5,167,103
98,8,7,6,7,303,123
99,4,3,5,8,33,123
100,3,5,4,8,304,248
101,8,3,5,9,270,139
102,5,8,5,9,56,412
103,3,4,3,5,240,229
104,6,4,7,6,390,116
105,6,8,8,5,34,238
106,7,1,7,6,143,264
107,5,2,9,6,272,296
108,1,2,6,4,218,222
109,3,6,4,9,377,235
110,2,7,8,3,11,63
111,8,2,5,6,186,380
112,8,5,8,7,316,224
113,6,1,6,7,262,194
114,6,1,5,6,400,5
115,7,5,4,9,34,207
116,8,5,4,5,468,328
117,4,1,8,6,190,46
118,4,6,3,9,244,373
119,6,1,9,4,406,396
120,3,8,3,9,182,347
121,6,1,9,7,467,334
122,5,3,3,5,362,340
123,4,7,6,9,357,217
124,4,5,9,4,368,360
125,7,2,7,6,356,16
