,num1,num2,sz1,sz2,img1,img2
0,1,5,5,7,318,34
1,2,6,9,3,493,96
2,5,2,7,6,248,177
3,7,5,4,7,384,455
4,3,5,8,7,392,138
5,5,2,3,5,180,484
6,7,8,9,4,105,376
7,1,8,9,7,340,225
8,6,3,9,8,204,119
9,1,2,6,9,169,374
10,2,4,8,5,153,102
11,7,2,7,9,204,161
12,1,7,3,5,338,319
13,2,5,6,9,42,428
14,6,3,4,9,217,238
15,3,2,7,5,261,377
16,1,4,6,7,380,488
17,5,6,7,3,447,116
18,6,4,8,3,375,322
19,5,8,9,5,135,18
20,3,7,8,9,286,110
21,6,3,7,6,75,385
22,8,4,9,4,208,222
23,7,4,5,9,239,25
24,6,2,3,6,242,343
25,6,2,7,4,408,425
26,8,1,6,8,49,194
27,7,3,5,9,76,199
28,7,3,5,8,382,68
29,7,3,3,7,488,314
30,7,5,3,9,61,437
31,8,3,7,4,181,154
32,7,4,7,8,166,128
33,8,4,7,4,190,331
34,1,4,6,5,123,460
35,1,4,7,3,439,23
36,6,8,8,5,255,379
37,6,4,7,3,156,184
38,4,2,8,3,354,241
39,4,6,6,8,480,492
40,1,3,6,5,460,400
41,7,5,8,5,7,422
42,1,6,8,6,369,483
43,4,5,9,4,393,429
44,4,3,3,9,149,256
45,2,4,5,4,227,75
46,4,7,6,9,25,31
47,8,6,4,7,253,481
48,5,2,8,5,403,172
49,6,1,3,7,103,168
50,8,2,3,5,52,87
51,2,5,4,8,420,223
52,6,2,9,8,393,403
53,8,4,8,9,127,285
54,8,2,5,7,63,125
55,1,4,6,3,29,477
56,2,6,8,7,345,81
57,1,4,5,3,105,124
58,2,4,3,4,127,32
59,5,3,5,7,103,327
60,3,5,5,9,142,28
61,5,4,4,9,353,40
62,8,7,3,9,434,259
63,6,1,7,5,460,250
64,4,7,5,8,348,442
65,2,4,9,3,253,478
66,1,3,5,4,431,27
67,6,3,6,4,396,177
68,6,4,4,5,140,70
69,2,6,3,7,491,184
70,7,6,8,3,52,111
71,2,1,5,3,218,439
72,6,4,3,7,231,378
73,1,6,5,6,358,102
74,3,6,5,4,428,294
75,6,8,7,8,346,137
76,4,2,6,5,214,247
77,7,1,3,7,71,216
78,7,6,4,5,282,263
79,3,8,6,4,152,330
80,2,3,7,6,5,283
81,1,4,4,3,227,394
82,3,2,4,6,232,126
83,5,8,7,8,198,180
84,2,4,8,3,283,132
85,3,8,7,4,459,25
86,6,8,6,8,476,398
87,6,1,3,7,356,342
88,4,1,5,9,99,460
89,7,6,9,3,16,197
90,4,8,6,3,448,176
91,8,7,6,9,222,197
92,2,7,6,4,434,30
93,8,2,5,6,233,471
94,6,5,5,4,93,371
95,5,1,8,5,14,237
96,8,6,3,6,493,10
97,7,3,9,3,238,91
98,4,8,8,3,425,348
99,7,4,3,8,128,446
100,7,8,6,4,373,480
101,6,7,3,5,411,246
102,1,2,3,5,431,455
103,8,2,5,4,371,163
104,4,1,5,3,387,271
105,7,1,4,3,211,80
106,2,3,9,6,412,289
107,1,3,4,8,5,492
108,3,8,4,5,149,142
109,2,5,8,6,259,245
110,5,7,7,5,56,335
111,5,6,4,5,436,278
112,4,7,3,7,107,432
113,5,4,3,7,338,46
114,2,6,5,7,4,272
115,2,6,4,7,425,477
116,1,2,6,3,468,444
117,7,2,4,8,220,371
118,8,4,9,4,144,86
119,1,5,4,5,78,382
120,2,1,5,8,497,330
121,1,4,6,5,239,21
122,3,2,4,8,455,49
123,5,2,5,3,117,159
124,6,5,3,9,336,203
125,4,3,4,7,361,247
126,1,6,4,8,393,312
127,2,1,9,7,22,295
128,2,5,4,9,86,14
129,1,3,4,5,158,472
130,3,7,9,3,27,131
131,4,3,9,5,482,451
132,3,2,5,7,240,97
133,7,5,5,9,273,205
134,4,5,4,8,27,415
135,3,1,3,6,67,52
136,1,2,8,7,27,102
137,7,3,3,5,458,52
138,3,1,3,4,336,39
139,4,5,8,4,246,51
140,2,8,4,9,85,499
141,5,6,7,4,101,264
142,2,8,9,6,269,302
143,2,3,8,9,260,277
144,7,6,8,7,498,477
145,1,4,9,3,54,132
146,4,1,5,3,316,1
147,2,5,4,3,271,333
148,2,1,6,4,26,25
149,3,7,4,6,6,327
150,1,4,8,9,192,125
151,8,5,3,5,19,440
152,4,7,7,8,239,207
153,3,8,8,9,476,52
154,3,4,6,3,102,380
155,1,5,8,3,169,355
156,4,7,8,4,16,270
157,2,5,6,4,206,70
158,2,4,8,9,117,408
159,1,3,8,5,378,353
160,6,8,4,9,224,163
161,7,8,5,4,456,488
162,4,1,4,3,266,415
163,6,3,7,8,59,34
164,4,8,4,8,133,359
165,6,7,7,6,55,45
166,8,3,4,5,487,477
167,5,1,9,5,38,76
168,3,5,5,4,102,5
169,8,5,7,8,138,335
170,7,1,7,3,356,309
171,3,6,7,9,144,243
172,3,2,3,5,5,412
173,8,1,3,8,103,108
174,6,7,5,9,394,96
175,6,4,9,3,91,492
176,4,3,7,6,470,181
177,5,3,4,8,115,456
178,3,1,9,3,495,5
179,3,7,4,7,130,448
180,2,4,8,6,496,296
181,4,6,7,9,344,291
182,6,8,4,9,76,490
183,7,8,5,9,293,195
184,4,8,3,5,206,155
185,4,3,3,5,459,217
186,2,4,6,5,47,31
187,6,2,9,4,39,366
188,6,4,3,5,468,260
189,2,5,7,8,286,399
190,7,2,4,9,289,214
191,7,5,9,4,358,92
192,5,8,3,5,366,266
193,5,4,7,4,446,256
194,3,6,7,6,370,70
195,3,5,6,5,212,27
196,8,6,5,9,200,7
197,6,4,7,6,46,113
198,2,5,3,5,383,475
199,7,3,4,7,379,85
200,7,2,7,6,96,194
201,1,3,8,3,171,178
