,num1,num2,sz1,sz2,img1,img2
0,7,6,7,3,289,231
1,4,3,8,9,106,234
2,4,7,7,6,226,166
3,6,5,7,8,409,400
4,1,5,8,4,401,317
5,1,5,3,5,73,268
6,1,3,8,3,367,16
7,7,8,4,6,215,353
8,4,8,9,7,207,469
9,7,3,3,4,154,347
10,1,3,3,6,81,60
11,4,5,7,5,328,379
12,3,1,7,9,8,325
13,7,1,4,5,370,120
14,8,3,3,6,289,447
15,5,7,6,4,331,52
16,8,4,8,5,328,321
17,5,8,3,7,316,87
18,8,3,4,7,169,406
19,7,3,8,3,399,113
20,6,1,3,8,308,191
21,7,5,7,6,191,463
22,5,2,6,4,113,426
23,3,6,9,4,47,126
24,3,5,9,8,448,438
25,5,2,7,8,91,443
26,3,4,6,9,432,121
27,3,8,9,4,387,151
28,6,1,9,3,171,198
29,2,7,6,9,6,196
30,8,6,7,8,457,414
31,2,4,5,8,35,124
32,4,7,8,4,431,292
33,1,7,6,4,293,429
34,1,7,8,6,267,217
35,4,3,9,6,398,427
36,6,7,3,4,345,101
37,3,8,8,9,279,148
38,6,2,4,6,376,485
39,7,3,4,9,262,305
40,4,2,8,6,474,244
41,4,8,8,9,198,210
42,1,4,9,6,159,196
43,1,6,3,9,124,120
44,1,2,6,8,403,326
45,3,2,9,4,100,460
46,2,7,4,8,70,203
47,7,1,8,6,247,211
48,7,8,9,8,231,145
49,4,1,6,3,424,194
50,3,7,5,3,494,120
51,4,6,5,9,168,288
52,6,4,6,9,208,459
53,3,2,5,8,175,70
54,1,4,5,7,248,9
55,1,3,5,9,461,123
56,7,4,4,7,290,82
57,7,1,3,4,496,170
58,6,3,8,6,161,99
59,1,6,5,9,382,107
60,3,6,8,6,254,22
61,1,5,9,7,468,381
62,7,3,9,5,144,152
63,2,1,4,8,40,305
64,1,5,8,3,204,195
65,3,2,6,7,354,106
66,1,6,4,6,207,431
67,7,1,5,7,487,455
68,6,4,7,6,269,182
69,2,7,5,3,26,14
70,5,3,5,8,101,462
71,6,2,6,8,135,39
72,7,3,9,3,3,164
73,5,6,4,9,50,28
74,5,4,4,9,93,164
75,7,8,5,7,69,443
76,7,2,3,8,477,463
77,8,3,6,3,451,478
78,8,5,5,9,35,229
79,8,3,3,7,267,367
80,6,4,3,9,155,94
81,6,7,9,5,233,388
82,8,2,8,3,310,195
83,5,4,7,6,497,458
84,4,6,9,4,123,97
85,6,5,6,7,142,473
86,8,4,3,4,399,241
87,4,3,5,6,50,377
88,6,2,3,7,6,216
89,6,4,4,3,194,406
90,4,3,6,7,317,276
91,2,4,7,6,386,337
92,1,2,6,3,210,178
93,8,5,5,9,52,151
94,5,4,3,9,265,393
95,8,4,3,8,339,210
96,1,3,6,3,179,414
97,1,3,7,6,433,210
98,8,1,6,5,115,227
99,8,1,4,7,93,164
100,1,8,4,8,348,203
101,8,1,3,9,386,498
102,6,8,4,5,191,30
103,7,3,8,7,360,214
104,8,7,7,5,477,183
105,2,1,4,6,357,332
106,2,7,7,5,287,151
107,6,3,8,4,323,2
108,4,3,4,3,241,194
109,2,8,6,4,458,284
110,6,4,7,9,10,376
111,8,4,6,9,382,48
112,1,7,5,3,381,400
113,4,1,8,6,78,465
114,8,1,4,6,422,15
115,5,7,8,5,436,126
116,5,1,7,8,436,148
117,3,2,4,6,444,110
118,1,2,3,6,3,390
119,8,7,4,7,288,496
120,7,2,3,7,275,359
121,5,2,7,5,210,144
122,1,7,8,6,239,29
123,7,3,7,4,368,87
124,3,7,8,3,399,426
125,8,3,4,3,105,116
126,7,3,9,5,30,346
127,7,6,9,3,210,58
128,3,4,7,3,43,207
129,4,2,7,8,369,487
130,6,1,8,9,129,229
131,8,2,3,7,180,255
132,1,5,8,6,382,434
133,6,5,7,8,16,210
134,8,3,9,4,442,399
135,1,6,7,5,490,478
136,5,4,8,5,356,210
137,4,6,6,3,369,490
138,1,3,3,9,3,470
139,2,7,9,7,205,18
140,2,8,9,6,366,278
141,5,2,4,6,36,262
142,2,4,7,4,177,248
143,1,6,6,9,116,93
144,2,6,4,5,26,96
145,7,5,3,6,496,440
146,7,2,6,5,390,175
147,7,6,7,6,148,457
148,4,3,7,3,482,286
149,2,4,6,3,173,443
150,2,3,5,6,39,223
151,7,8,4,3,337,33
152,6,1,4,3,341,372
153,5,4,6,5,478,46
154,1,5,6,3,462,293
155,7,6,4,7,165,447
156,7,5,5,3,135,497
157,6,7,5,4,15,353
158,6,3,5,7,405,329
159,5,1,8,6,257,55
160,7,5,4,3,306,21
161,8,1,9,3,367,159
162,2,7,9,5,307,334
163,2,3,4,7,418,401
