,num1,num2,sz1,sz2,img1,img2
0,7,5,5,6,483,270
1,1,8,4,7,244,195
2,3,7,9,3,366,395
3,6,1,5,8,491,20
4,1,4,3,5,303,399
5,1,3,9,5,137,43
6,3,8,4,9,120,40
7,2,6,4,5,17,304
8,3,1,6,3,491,156
9,7,5,8,4,222,468
10,3,7,9,5,498,189
11,2,5,5,8,317,45
12,1,4,5,9,79,11
13,3,8,8,5,106,73
14,2,4,7,9,365,110
15,6,1,3,8,408,482
16,4,6,8,5,376,355
17,4,2,5,6,210,129
18,6,4,7,6,373,437
19,6,1,3,9,210,5
20,2,1,8,6,477,194
21,4,7,3,7,114,47
22,3,6,6,5,473,102
23,3,4,8,9,261,276
24,5,2,4,5,26,492
25,3,8,3,6,114,76
26,5,2,8,3,43,267
27,6,3,7,5,94,136
28,3,4,6,5,281,131
29,4,6,4,6,416,179
30,5,7,4,6,265,199
31,6,2,9,8,419,234
32,2,1,4,3,137,129
33,4,3,4,8,69,180
34,6,3,9,3,332,126
35,2,6,6,9,185,55
36,3,5,9,3,336,308
37,3,2,7,4,84,118
38,1,6,6,9,91,465
39,1,8,6,5,312,255
40,7,1,8,6,104,393
41,8,5,7,4,155,55
42,7,6,8,3,218,99
43,6,3,3,9,1,375
44,8,2,7,5,249,117
45,5,4,7,3,225,381
46,4,6,8,7,467,396
47,6,1,5,4,72,267
48,6,8,4,8,274,126
49,7,8,7,4,68,411
50,8,2,9,4,444,297
51,8,3,6,8,104,176
52,3,8,4,5,480,115
53,4,8,4,6,475,460
54,4,5,4,8,68,195
55,1,8,5,4,484,237
56,2,1,6,5,190,65
57,3,2,8,4,32,211
58,7,1,6,3,284,16
59,7,1,7,9,17,45
60,3,6,7,5,72,266
61,8,5,3,6,97,350
62,6,3,3,5,301,258
63,8,1,4,9,159,491
64,3,8,6,9,77,40
65,4,7,6,7,58,343
66,2,3,6,9,242,29
67,6,2,3,6,310,423
68,2,5,5,9,54,141
69,4,2,3,7,237,488
70,3,6,3,8,59,344
71,6,4,4,7,26,159
72,3,8,8,3,59,173
73,3,4,8,6,379,282
74,3,1,6,7,20,267
75,6,2,3,5,348,478
76,5,1,5,8,389,267
77,2,7,9,6,146,84
78,1,4,4,6,73,452
79,7,4,5,7,200,334
80,2,8,8,7,480,268
81,8,7,7,3,375,302
82,4,7,6,4,260,364
83,2,6,7,5,319,81
84,4,3,3,9,496,411
85,5,6,7,4,474,170
86,8,2,4,8,237,25
87,1,5,6,8,320,346
88,1,2,8,4,170,326
89,6,8,5,8,334,351
90,6,7,6,5,3,230
91,4,7,3,7,134,385
92,1,5,9,8,92,253
93,7,2,9,3,135,466
94,1,7,4,3,359,428
95,1,8,7,9,18,439
96,5,7,3,8,397,415
97,4,3,4,6,330,137
98,3,7,4,7,381,255
99,4,3,9,5,176,397
100,4,3,9,6,215,153
101,4,3,4,7,336,297
102,8,7,7,3,461,332
103,4,8,4,8,98,327
104,6,2,6,3,222,209
105,1,8,5,8,21,131
106,8,7,4,7,175,101
107,7,1,6,7,411,201
108,2,3,8,4,381,325
109,1,3,8,6,495,201
110,3,5,4,8,321,31
111,1,5,4,7,347,325
112,1,8,8,4,321,217
113,8,3,6,9,129,294
114,3,8,8,6,92,16
115,2,8,4,9,472,440
116,5,3,5,7,328,397
117,8,4,9,4,291,79
118,4,7,7,9,84,315
119,3,6,6,9,219,281
120,1,8,3,4,352,322
121,6,5,4,8,447,413
122,8,2,9,8,333,6
123,6,8,7,3,414,475
124,1,5,4,8,362,89
125,6,2,3,9,464,78
126,1,3,7,5,387,467
127,6,8,4,6,426,142
128,3,8,8,7,295,410
129,5,1,4,6,359,233
130,5,7,3,8,384,363
131,5,2,6,5,115,10
132,5,4,7,3,369,266
133,2,7,9,7,295,417
134,5,1,5,6,403,433
135,1,4,6,3,227,239
136,4,7,3,9,119,464
137,1,4,5,7,170,158
138,1,2,4,9,139,114
139,6,4,6,5,44,136
140,4,5,8,5,199,434
141,8,7,8,9,42,53
142,6,2,3,5,103,274
143,2,3,4,7,171,305
144,4,5,6,4,47,75
145,6,1,6,8,65,314
146,8,6,6,5,212,251
147,2,5,7,5,13,142
148,2,8,8,4,238,304
149,2,8,9,7,287,293
150,5,7,9,8,277,104
151,4,2,7,3,311,229
152,2,6,8,5,67,160
153,4,2,6,4,342,457
154,7,3,7,3,290,114
155,6,8,6,4,1,483
156,3,2,9,3,341,159
157,3,8,9,3,132,8
158,1,8,9,6,249,358
159,8,4,5,8,241,408
160,7,1,5,4,296,67
161,7,5,7,3,242,316
162,3,8,5,8,227,236
163,6,1,7,6,37,262
164,4,2,3,4,402,61
165,2,1,7,8,72,152
166,6,4,8,4,273,256
167,4,8,6,9,319,244
168,4,6,5,9,84,104
169,8,5,5,7,177,410
170,8,1,7,8,360,288
171,1,2,4,8,71,312
172,4,7,5,4,93,39
173,7,8,8,4,392,283
174,7,3,8,3,445,374
175,1,8,7,4,412,491
176,8,3,4,7,345,492
177,7,2,9,5,418,214
178,6,2,9,7,177,309
179,8,6,5,6,307,173
180,2,4,4,8,425,43
181,8,2,5,4,95,320
182,4,3,8,9,248,335
183,8,3,4,7,144,226
184,5,6,7,8,27,81
185,7,2,8,3,433,121
186,7,1,8,3,480,158
187,1,8,5,9,271,17
188,8,1,9,4,367,53
189,8,7,6,5,78,419
190,1,4,9,6,454,446
191,2,8,3,7,325,441
192,7,6,3,4,461,301
193,3,6,8,9,404,113
194,3,4,9,4,30,447
195,2,1,5,7,92,197
196,4,8,5,3,315,301
197,4,8,7,3,286,209
198,7,2,7,9,441,27
199,8,7,9,8,440,160
200,3,1,9,8,491,8
201,3,2,4,3,83,369
202,2,1,8,4,393,29
203,8,4,8,5,369,302
204,7,4,3,5,258,129
205,8,2,9,5,178,434
206,3,4,3,9,155,341
207,4,5,5,3,105,154
208,1,8,4,8,332,348
209,8,7,4,3,322,266
210,6,3,7,9,346,463
211,1,6,6,7,150,308
212,7,3,4,9,374,3
213,6,7,7,4,47,57
214,8,7,7,3,235,415
215,5,7,8,3,297,36
216,5,1,5,8,495,1
217,8,4,4,7,173,53
218,7,8,6,3,35,462
219,3,4,5,7,78,122
220,8,4,8,4,235,128
221,6,1,8,3,466,427
222,6,3,6,4,271,129
223,4,6,3,9,255,197
224,2,7,4,7,0,154
225,6,3,9,6,423,128
226,3,5,4,3,199,424
227,3,8,9,6,366,100
228,7,1,5,8,313,232
229,1,7,6,5,303,15
230,4,7,4,3,459,132
231,1,8,7,8,286,293
232,1,7,4,7,101,451
233,5,1,4,5,65,410
234,4,1,8,7,453,327
235,4,3,9,4,335,94
236,6,7,4,7,421,318
237,5,6,7,6,25,426
238,2,6,4,7,245,359
239,1,4,9,8,390,60
240,3,7,9,4,301,366
241,5,6,4,7,290,404
242,2,4,7,4,341,131
243,7,6,5,7,404,221
244,1,8,5,3,455,138
245,4,5,3,8,77,473
246,1,8,6,4,424,2
247,5,7,6,7,66,316
248,1,7,5,9,364,235
249,8,6,3,4,53,202
250,1,7,9,4,296,447
251,1,7,9,4,90,231
252,8,3,9,7,42,154
253,7,8,6,9,454,51
254,1,3,4,6,328,39
255,5,1,3,7,254,445
256,8,2,4,7,292,154
257,6,1,3,8,141,426
258,2,7,6,5,153,4
259,3,6,3,4,357,182
260,8,2,7,6,231,439
261,2,8,9,5,313,45
262,4,1,4,8,312,271
263,1,6,5,4,441,245
264,7,4,3,6,129,366
265,5,8,6,3,346,349
266,2,6,4,3,282,7
267,5,4,6,4,162,81
268,4,7,4,9,214,342
269,5,6,9,4,359,325
270,6,3,5,7,344,304
271,2,5,4,8,223,226
272,8,1,6,9,239,90
273,1,2,7,8,272,66
274,6,8,9,5,157,199
275,2,4,4,6,74,218
276,5,4,5,8,131,182
277,4,7,3,8,219,359
278,1,8,9,8,334,263
279,5,7,3,8,273,359
280,8,3,9,3,255,194
281,5,3,9,6,496,54
282,1,5,6,5,106,356
283,7,8,5,7,72,330
284,2,4,8,6,88,416
285,4,8,9,8,31,466
286,5,6,8,5,109,364
287,1,3,4,7,435,425
288,1,2,8,7,119,427
289,3,7,4,3,461,360
290,8,4,9,5,379,476
291,3,5,7,8,205,383
292,1,4,8,9,26,262
293,1,2,7,3,227,166
294,3,6,3,5,171,408
295,7,3,6,3,415,157
296,5,4,3,9,369,202
297,8,4,7,8,24,71
298,7,3,5,6,159,83
299,2,7,4,3,390,200
300,4,6,5,3,344,182
301,7,2,6,7,390,231
302,2,8,8,5,373,492
303,5,2,8,5,88,321
304,8,2,3,8,434,438
305,3,4,3,7,443,47
306,4,6,8,7,178,375
307,4,3,3,9,475,195
308,8,6,7,3,56,321
309,4,3,3,8,266,461
310,8,2,5,8,69,201
311,7,3,4,6,149,105
312,5,7,7,9,378,179
313,5,2,8,9,59,275
314,3,4,8,5,404,249
315,4,1,6,3,155,387
