,num1,num2,sz1,sz2,img1,img2
0,6,1,4,9,268,173
1,5,8,4,5,388,89
2,6,2,4,3,147,319
3,7,1,5,3,335,344
4,2,8,4,5,366,203
5,6,5,8,9,154,89
6,4,3,5,9,51,428
7,4,6,7,8,409,469
8,5,1,6,8,156,163
9,3,1,8,9,162,109
10,7,3,5,8,386,279
11,8,3,6,9,272,184
12,7,6,7,5,165,492
13,5,4,8,6,410,382
14,3,6,5,6,273,245
15,6,3,8,3,212,128
16,4,8,6,8,344,211
17,1,6,3,4,376,436
18,8,4,9,5,333,479
19,4,6,9,5,445,204
20,8,5,8,6,40,330
21,6,3,4,9,406,292
22,3,8,9,7,290,186
23,2,1,9,7,248,317
24,2,5,6,8,471,459
25,5,1,7,6,162,204
26,1,6,5,4,432,397
27,3,5,8,9,304,120
28,6,4,9,5,66,466
29,3,4,5,8,382,468
30,6,2,4,7,268,423
31,3,7,5,3,23,30
32,8,2,5,8,315,355
33,4,8,4,6,124,148
34,7,3,9,7,143,110
35,1,8,5,8,193,368
36,5,3,5,3,75,111
37,5,7,4,5,309,385
38,3,8,5,3,260,317
39,1,4,6,8,310,161
40,5,6,4,9,303,439
41,6,8,4,8,174,431
42,2,3,8,4,301,176
43,1,6,6,5,479,447
44,4,6,9,4,112,408
45,1,2,8,3,408,284
46,7,3,6,3,191,289
47,6,7,9,4,22,356
48,3,8,7,8,302,190
49,5,4,5,7,173,158
50,1,7,7,6,204,218
51,1,3,5,6,143,186
52,1,4,4,5,312,187
53,4,8,4,5,475,453
54,6,5,3,7,444,177
55,6,7,6,5,240,30
56,6,4,7,9,106,215
57,3,2,3,5,231,344
58,4,2,4,5,210,141
59,7,2,4,8,115,460
60,6,2,6,9,270,116
61,4,6,9,4,160,442
62,7,1,9,3,292,113
63,3,4,4,5,409,171
64,7,1,6,7,465,307
65,3,8,4,9,303,160
66,5,4,7,9,177,456
67,8,5,6,8,189,325
68,7,2,7,8,72,185
69,6,3,6,5,362,272
70,2,6,3,9,62,105
71,7,5,4,3,100,336
72,1,3,5,6,323,175
73,2,7,9,3,225,91
74,3,8,6,3,175,37
75,3,8,7,8,49,292
76,1,6,4,5,235,50
77,6,4,6,9,79,315
78,1,6,4,6,28,166
79,3,4,8,9,428,52
80,1,5,8,6,446,448
81,7,5,4,3,125,496
82,6,1,9,8,157,63
83,2,7,6,5,31,470
84,5,6,6,4,328,315
85,1,3,5,6,238,348
86,5,1,3,4,98,141
87,2,8,4,7,72,110
88,3,7,6,7,35,497
89,6,4,6,9,402,159
90,6,4,8,3,13,160
91,2,3,8,7,55,232
