,num1,num2,sz1,sz2,img1,img2
0,8,5,5,8,149,139
1,5,1,7,5,183,476
2,1,5,3,5,83,487
3,8,4,9,4,259,71
4,6,8,7,3,379,186
5,1,5,6,3,432,332
6,3,2,3,8,341,142
7,1,6,5,8,302,143
8,7,5,6,7,195,180
9,4,2,6,9,385,120
10,1,4,4,7,243,356
11,4,8,4,9,249,256
12,1,6,5,6,52,223
13,1,7,3,9,324,450
14,2,6,3,6,297,117
15,5,6,5,3,161,196
16,4,1,9,3,169,494
17,2,7,6,7,363,181
18,6,5,7,6,107,296
19,7,2,3,6,36,8
20,4,7,4,5,463,290
21,2,7,7,3,293,327
22,1,4,9,3,4,115
23,5,1,9,3,250,319
24,4,2,9,7,20,210
25,6,7,5,3,361,480
26,4,2,4,8,217,375
27,3,6,6,3,392,179
28,5,2,4,5,158,113
29,6,8,7,6,105,49
30,3,2,7,4,202,41
31,8,2,8,4,442,375
32,7,2,3,5,334,475
33,2,7,8,5,139,15
34,5,7,6,4,120,440
35,7,8,3,6,3,469
36,4,5,7,9,264,353
37,5,6,7,9,32,253
38,5,2,5,8,187,272
39,5,8,8,5,451,458
40,7,5,6,4,181,200
41,6,2,9,7,282,109
42,6,8,6,5,362,144
43,1,6,4,8,106,200
44,8,1,5,4,221,145
45,6,5,3,6,2,309
46,3,8,6,7,219,107
47,2,5,4,9,230,450
48,7,5,4,6,416,52
49,3,4,6,7,234,175
50,8,6,4,3,137,3
51,1,8,8,5,284,339
52,2,5,5,9,37,16
53,8,5,8,5,45,437
54,7,4,8,5,405,409
55,7,5,4,3,91,28
56,3,2,4,3,45,255
57,4,3,6,5,315,56
58,3,5,3,9,441,223
59,2,7,8,4,207,313
60,3,8,8,9,177,216
61,7,2,4,5,198,258
62,2,1,4,8,352,371
63,2,3,6,5,337,411
64,6,7,7,9,489,291
65,2,8,4,3,18,414
66,8,1,3,4,94,122
67,6,5,9,4,246,373
68,1,4,8,7,364,419
69,3,5,6,8,401,88
70,1,6,9,6,24,115
71,5,7,7,9,239,217
72,2,1,6,5,461,26
73,7,2,4,9,260,53
74,6,5,3,6,321,381
75,4,8,6,8,45,43
76,4,6,9,5,460,48
77,1,4,7,6,151,158
78,2,8,3,6,401,296
79,5,1,5,8,424,48
80,5,6,3,9,289,491
81,7,5,5,8,154,246
82,1,8,4,9,461,117
83,2,8,5,3,271,357
84,8,5,5,7,218,239
85,1,7,8,9,413,92
86,1,6,8,5,203,321
87,7,3,6,5,92,31
88,6,3,3,6,7,266
89,6,5,8,9,163,149
90,1,6,7,9,106,398
91,4,7,4,6,313,426
92,7,1,4,6,311,256
93,2,4,9,7,479,445
94,2,1,6,5,119,496
95,5,1,9,7,118,331
96,5,3,4,3,397,319
97,2,4,8,6,343,19
98,6,3,5,7,9,469
99,7,2,3,7,344,74
100,2,3,9,5,97,313
101,6,8,8,4,158,409
102,2,3,4,6,492,245
103,7,1,5,6,476,168
104,1,4,3,4,322,11
105,6,1,9,3,361,194
106,5,1,9,5,121,442
107,8,1,8,7,421,363
108,6,2,6,4,436,11
109,7,1,4,8,100,259
110,8,7,4,8,185,9
111,1,7,9,3,15,11
112,3,6,6,5,242,332
113,1,7,3,5,330,9
114,5,7,5,9,101,314
115,3,7,7,5,65,147
116,6,7,5,3,207,64
117,1,5,7,5,415,94
118,4,6,9,7,435,199
119,6,7,3,6,358,192
120,6,4,4,7,355,297
121,1,6,9,6,373,309
122,6,5,4,3,98,253
123,3,4,7,6,89,123
124,4,7,9,4,214,231
125,7,4,7,3,25,489
126,5,4,8,6,340,163
127,6,3,5,9,397,220
128,3,5,3,9,439,472
129,6,7,4,5,322,42
130,2,4,8,7,191,216
131,2,8,9,6,473,84
132,7,5,4,3,442,491
133,6,7,7,4,498,353
134,2,7,3,7,202,426
135,3,8,9,5,33,193
136,5,7,7,8,306,78
137,1,2,6,8,227,78
138,2,8,5,6,484,257
139,4,3,6,9,311,191
140,6,8,4,7,132,208
141,6,5,5,4,141,292
142,2,5,8,6,109,18
143,8,3,3,7,212,111
144,2,3,9,4,385,125
145,4,8,9,3,115,204
146,1,6,6,4,28,360
147,7,6,6,8,81,167
148,1,6,7,4,223,36
149,7,3,8,3,300,414
150,3,8,6,5,184,86
151,7,8,9,7,448,108
152,4,7,7,4,307,494
153,5,2,8,9,35,59
154,4,8,5,6,498,318
155,6,8,9,7,58,98
156,8,7,7,9,163,101
157,6,3,6,3,415,126
158,1,4,4,5,211,251
159,4,5,8,5,14,146
160,6,3,3,5,128,67
161,7,3,4,7,220,85
162,3,7,3,6,136,384
163,1,7,5,9,256,12
164,4,1,6,5,56,496
165,5,7,8,3,202,73
166,8,5,9,5,197,142
167,7,4,3,6,472,433
168,1,7,4,9,262,374
169,6,5,3,9,36,497
170,3,5,4,5,89,188
171,7,1,6,3,381,395
172,6,5,7,8,377,109
173,7,5,5,4,316,251
174,4,6,7,5,279,130
175,1,5,9,7,140,369
176,5,1,8,7,203,60
177,2,6,7,4,131,348
178,2,3,4,7,29,325
179,6,2,8,6,319,438
180,5,2,3,6,371,356
181,2,7,5,3,376,292
182,3,6,6,3,333,308
183,1,8,5,3,424,7
